,batter_name,pitch_number,pitcher_handedness,batter_handedness,inning,outs,strikes,outs_on_play,velocity,vertical_release_angle,horizontal_release_angle,spin_rate,release_height,extension,vertical_break,induced_vertical_break,horizontal_break,height_at_plate,side_at_plate,zone_speed,vertical_approach_angle,horz_approach_angle,zone_time,exit_velocity,launch_angle,direction,hit_spin_rate,position_at_110x,position_at_110y,position_at_110z,distance,last_tracked_distance,bearing,hang_time,pfxx,pfxz,vx0,vy0,vz0,ax,ay,play_result,traditional_cluster,distance_needed,potential_coverage,fielder_play_result,custom_cluster
0,"Seymour, Bobby",102.0,1,1,1.0,1.0,2.0,0.0,92.46362091,-1.293371298,-2.147161433,2222.636161,5.8812811289999996,6.459072524,-17.56411354,14.6134234,7.785403948,3.228676347,0.100725372,83.66776946,-4.643051058,-0.659218231,0.408270421,93.86375934,12.05782974,-19.51932786,2558.300606,100.9178042,16.22805759,-43.76748386,210.1527634,182.6312396,-26.89529201,1.948334351,-4.965807072,8.469301589,4.810460911,-134.5174247,-3.56472327,-8.995066072,32.2865441,1,8.0,112.38360808517652,58.45003053,1.0,0.0
1,"Seymour, Bobby",121.0,1,1,1.0,0.0,1.0,1.0,85.22113745,0.254051857,-3.889359125,1898.676829,5.619681531,7.327313181,-32.14192218,4.73480869,15.05565168,3.171202442,0.7162800140000001,76.87964948,-5.985724476000001,-0.961553008,0.437066706,68.20130844,-43.09239087,16.76712186,,,,,4.0352072130000005,3.444577101,3.398743192,0.045559692,-9.868381757,2.617598546,8.093094996,-123.96797430000001,-0.164367438,-15.09185388,28.77280821,0,4.0,146.01339644176468,1.36679076,0.0,1.0
2,"Seymour, Bobby",240.0,1,1,9.0,0.0,0.0,1.0,73.47931156,0.594389001,-1.29519181,1915.1906399999998,5.835911602,5.785255854,-53.91896955,-1.718518885,-10.20530264,1.8957298630000001,-0.190687014,67.33151445,-9.484364256000001,-3.219111587,0.520006347,88.88810356,-27.80377203,10.97042203,,,,,3.935965687,3.732480561,12.68315189,0.028843384,5.0985328569999995,-1.108555263,2.6921370380000003,-106.8503497,-0.351201009,5.834134685,20.16710667,0,4.0,146.07813425193228,0.86530152,0.0,2.0
3,"Seymour, Bobby",190.0,1,1,3.0,1.0,1.0,0.0,75.80015883,2.194474531,0.608890206,2349.025859,5.742935697,5.83961724,-60.74155934,-12.29785483,-17.53329261,2.721484694,-0.424669801,70.15665088,-9.125996601,-2.682589473,0.500945168,90.95889667,24.75775136,-8.833638183,3223.866996,107.19572620000001,44.86653247,-24.67934638,309.84785930000004,309.4218998,-19.18956302,4.234901733,9.59839305,-7.211672036,-0.6817993790000001,-110.27878899999999,2.527869737,11.8485253,19.17003602,1,8.0,13.628504297051498,127.04705199,0.0,4.0
4,"Seymour, Bobby",235.0,1,1,3.0,2.0,2.0,1.0,89.0069519,-1.225558051,-4.024021499,2273.79574,5.590207068,6.167727482999999,-16.62743575,18.89235388,12.25978108,3.069776002,-0.23744735,79.71720603,-4.3949055910000006,-1.6879230159999998,0.428950038,93.83837987,25.86072413,-18.03604253,3686.228722,101.8827171,49.32835903,-41.47182079,287.29731489999995,235.62910409999998,-31.05361804,4.094143677,-8.064796688,10.75355695,8.712935559,-129.1275664,-3.27239029,-13.34650292,31.863196000000002,0,8.0,37.76370914030737,122.82431031,0.0,4.0
5,"Seymour, Bobby",193.0,1,1,5.0,1.0,0.0,1.0,80.91516592,-0.28634720399999997,-4.262503078,2033.8099829999999,5.433872999,5.586061901,-30.76807035,12.82736814,14.13456728,2.6017665290000003,-0.163344046,73.25335749999999,-6.051347886,-1.6104525090000001,0.475217082,105.8928866,9.880565552,17.31240936,2143.2238429999998,103.0512872,9.44404783,38.47529269,170.31869440000003,163.88323,22.03166283,1.298168335,-8.872088564,6.94865303,8.310193601,-117.33273490000002,-1.5346724269999998,-12.24275007,24.30142205,0,4.0,-20.7712834607977,38.94505005,0.0,5.0
6,"Seymour, Bobby",239.0,1,1,6.0,2.0,1.0,1.0,83.49590551,-0.24480536100000003,-2.802711757,2029.610688,5.8719423939999995,6.25890846,-26.33298017,13.28782676,8.680752949,3.451560553,-0.272832419,75.9339964,-5.23522359,-1.15461214,0.453036482,70.03779702,-11.98462866,-21.71591319,,,,,14.18160253,13.92008186,-20.69988327,0.142682495,-5.584383807999999,7.3464007129999995,5.699711831,-121.4353419,-1.263374443,-8.284369287,25.23041042,0,6.0,132.1759769423874,4.28047485,0.0,6.0
7,"Seymour, Bobby",135.0,1,1,4.0,0.0,2.0,0.0,90.90527402,-3.361190428,-1.636377032,2265.672681,5.887373535,7.235349352999999,-13.90724278,18.02490612,-1.00859982,1.682175865,-0.294072881,83.62528249,-6.019526883999999,-1.8304480019999998,0.40671069299999996,104.800151,12.29015526,-2.256499694,1127.786974,109.68807859999998,17.61380489,-8.268833907000001,263.935445,262.95179709999996,-7.2086643189999995,2.260575562,0.131612026,11.10513902,3.806556744,-132.3710302,-8.122060531,0.23429915899999998,27.37129015,1,8.0,57.078386704855674,67.81726686,0.0,4.0
8,"Seymour, Bobby",79.0,0,0,2.0,1.0,1.0,0.0,91.12717464,-1.092538482,1.307475963,2177.638793,5.501368852000001,6.262701682,-23.1906056,9.92826152,-15.81241724,2.561254477,-0.977516499,83.22211274,-5.476127626,-1.6934990159999999,0.41419919899999996,62.69056728,31.41206543,-7.382988073,3501.8579520000003,107.8732533,37.83198155,-21.52579925,197.33261399999998,196.9305305,-14.77764793,3.2633709719999997,9.027517743999999,5.746530237999999,-2.539039082,-132.6611052,-3.247449659,16.03055585,29.32198876,1,8.0,123.83200271663647,97.90112916,1.0,4.0
9,"Seymour, Bobby",242.0,1,1,8.0,2.0,0.0,1.0,75.98168306,1.478392145,-2.4229276019999997,2226.8813579999996,5.817005125,4.757981106,-52.92212684,-2.596615505,-10.34028248,2.810110238,-0.065938128,70.11057568,-8.192722997999999,-4.3216843,0.510582137,93.34326767,26.61376547,5.747693895,2236.640079,109.57071189999999,51.8402807,9.707986949,345.878422,340.6297148,3.3138329630000003,4.648771362,4.695082721,-1.746460923,5.009971003,-110.30734740000001,1.09646354,5.79750034,19.21942898,0,8.0,-25.77726234709001,139.46314085999998,0.0,3.0
